iter	Passed	Remaining
513	271364	2068494
514	271835	2067535
515	272319	2066671
516	272815	2065901
517	273365	2065545
518	273864	2064802
519	274411	2064416
520	274934	2063856
521	275447	2063218
522	275941	2062437
523	276437	2061674
524	277172	2062688
525	277679	2062008
526	278219	2061566
527	278735	2060952
528	279265	2060438
529	279783	2059841
530	280283	2059107
531	280805	2058537
532	281373	2058304
533	281866	2057522
534	282343	2056623
535	282863	2056037
536	283307	2054904
537	283800	2054123
538	284360	2053830
539	284859	2053096
540	285431	2052889
541	285943	2052254
542	286448	2051561
543	286967	2050971
544	287485	2050375
545	287952	2049423
546	288480	2048899
547	289035	2048566
548	289567	2048068
549	290184	2048171
550	290698	2047554
551	291260	2047267
552	291799	2046815
553	292315	2046205
554	292815	2045488
555	293309	2044728
556	293818	2044071
557	294307	2043275
558	294834	2042743
559	295363	2042225
560	295825	2041247
561	296335	2040599
562	296832	2039869
563	297320	2039066
564	297834	2038450
565	298383	2038078
566	298880	2037340
567	299585	2038025
568	300131	2037624
569	300766	2037822
570	301303	2037360
571	301760	2036353
572	302362	2036327
573	302845	2035503
574	303322	2034633
575	303820	2033912
576	304316	2033173
577	304799	2032349
578	305325	2031808
579	305834	2031164
580	306367	2030670
581	306928	2030368
582	307539	2030396
583	308023	2029577
584	308569	2029173
585	309055	2028376
586	309606	2028002
587	310101	2027262
588	310605	2026584
589	311125	2026009
590	311619	2025260
591	312222	2025229
592	312747	2024686
593	313298	2024308
594	313833	2023829
595	314325	2023072
596	314803	2022229
597	315344	2021793
598	315900	2021444
599	316529	2021568
600	317058	2021049
601	317592	2020561
602	318252	2020878
603	318729	2020029
604	319250	2019456
605	319741	2018695
606	320204	2017764
607	320740	2017289
608	321200	2016336
609	321756	2015988
610	322259	2015309
611	322784	2014766
612	323525	2015570
613	324676	2018917
614	325955	2023046
615	326447	2022280
616	326962	2021656
617	327486	2021089
618	328030	2020646
619	328572	2020189
620	329093	2019604
621	329651	2019246
622	330156	2018567
623	330727	2018286
624	331262	2017787
625	331853	2017626
626	332428	2017367
627	332997	2017072
628	333553	2016699
629	334077	2016131
630	334561	2015319
631	335132	2015038
632	335611	2014200
633	336119	2013538
634	336650	2013008
635	337237	2012822
636	337759	2012239
637	338250	2011476
638	338784	2010971
639	339303	2010370
640	339807	2009688
